County,Type,Facility Name,Street Address,City,State,ZIP,Location
Suffolk,Grocery,Greenport Iga,South Street,Greenport,NY,11944,"South Street
Greenport, NY 11944
(41.10301274600005, -72.36299357399997)"
Queens,Grocery,Fine Fare Supermarket,Jamaica Avenue,Woodhaven,NY,11421,"Jamaica Avenue
Woodhaven, NY 11421
(40.692639471000064, -73.85706776699993)"
Fulton,Grocery (Formula Allowed),Tops #721,Main Street,Northville,NY,12134,"Main Street
Northville, NY 12134
(43.21707807000007, -74.16706367699999)"
Kings,Grocery,Associated Supermarket,Arlington Ave,Brooklyn,NY,11207,"Arlington Ave
Brooklyn, NY 11207
(40.68002045700007, -73.89021351699995)"
Bronx,Grocery (Formula Allowed),Western Beef,Webster Avenue,Bronx,NY,10457,"Webster Avenue
Bronx, NY 10457
(40.846303298000066, -73.90172754899999)"
Richmond,Grocery,New King Food,Broadway,Staten Island,NY,10310,"Broadway
Staten Island, NY 10310
(40.63164069800007, -74.11665839899996)"
Nassau,Grocery (Formula Allowed),Key Food,Rosedale Road,Valley Stream,NY,11581,"Rosedale Road
Valley Stream, NY 11581
(40.65182830400005, -73.71891193999994)"
Onondaga,Grocery w/ Pharmacy inside,Price Chopper #172,Erie Blvd East,Syracuse,NY,13224,"Erie Blvd East
Syracuse, NY 13224
(43.05132055400003, -76.11511844799998)"
Kings,Grocery,Bravo Supermarket,Dekalb Av,Brooklyn,NY,11221,"Dekalb Av
Brooklyn, NY 11221
(40.69348344200006, -73.93292221499996)"
Westchester,Grocery,Four Season's C-Town Marketplace,Croton Avenue,Ossining,NY,10562,"Croton Avenue
Ossining, NY 10562
(41.16694257200004, -73.84986265599997)"
New York,Pharmacy Only,Duane Reade #14117,E 58th Street,New York,NY,10022,"E 58th Street
New York, NY 10022
(40.76126282000007, -73.96783652699997)"
New York,Grocery,"Fu Xing Grocery, Inc.",Eldridge St,New York,NY,10002,"Eldridge St
New York, NY 10002
(40.718693889000065, -73.99169094599995)"
Suffolk,Grocery (Formula Allowed),Best Market,Sunset Av,Westhampton Beach,NY,11978,"Sunset Av
Westhampton Beach, NY 11978
(40.815324015000044, -72.64481831899997)"
Kings,Grocery,Utica Meat Warehouse,Utica Av,Brooklyn,NY,11203,"Utica Av
Brooklyn, NY 11203
(40.65015908600003, -73.93021685199994)"
Queens,Grocery (Formula Allowed),Key Food,New Haven Ave,Far Rockaway,NY,11691,"New Haven Ave
Far Rockaway, NY 11691
(40.59890196300006, -73.74902248899997)"
Nassau,Grocery w/ Pharmacy inside,Stop & Shop #2578,Hicksville Ro,Massapequa,NY,11758,"Hicksville Ro
Massapequa, NY 11758
(40.69195693200004, -73.47827259199994)"
